userId,top_5_name,prediction_rate
M0000019414903,"['에스리턴 프로틴 브라우니바 초코 50g', '[NEW] 무지개맨션 아이시 글로우', '아크네스 3초 진정 패치 2종 택1', 'C08', '히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)']","[0.9999949932098389, 0.9999908208847046, 0.9999842643737793, 0.9999511241912842, 0.9998317956924438]"
M0000017614720,"['라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)', '[선우PICK]메디힐 티트리 진정 패드 100매']","[0.9999998807907104, 0.9999997615814209, 0.999613344669342, 0.9952839016914368, 0.9943195581436157]"
M0000010991729,"['[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)', 'C08""', '칼파제르 셀렉션 초콜릿150g', '필리밀리 손톱깎이 (S)']","[0.9999948740005493, 0.9994921684265137, 0.998843789100647, 0.9951064586639404, 0.9927425384521484]"
M0000013372209,"['칼파제르 밀크 초콜릿150g', '에스리턴 프로틴 브라우니바 초코 50g', 'C07', 'C08', 'C04']","[0.9999680519104004, 0.9997498393058777, 0.9987756609916687, 0.994672954082489, 0.9905044436454773]"
M0000012461153,"['고려은단 알티지 오메가3 60캡슐 (60일분)', 'C10""', 'C02', '티타니아 샌드풋파일', 'C05']","[0.9999806880950928, 0.9980712532997131, 0.9980658888816833, 0.9965780377388, 0.9963578581809998]"
M0000004747756,"['히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)', '[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', 'C08""', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', '로아커 미니스 믹스 15입 150g']","[0.9999592304229736, 0.9999537467956543, 0.9895943403244019, 0.9820484519004822, 0.9670737981796265]"
M0000015558162,"['[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', 'C07', '에스리턴 프로틴 브라우니바 초코 50g', '티타니아 샌드풋파일', '헌터스 화이트 트러플칩 25g']","[0.9999904632568359, 0.9989677667617798, 0.9979609251022339, 0.9938691854476929, 0.9694827198982239]"
M0000012192479,"['딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', 'C11""', 'C09""']","[0.999998927116394, 0.9998928308486938, 0.9950064420700073, 0.993800938129425, 0.9479171633720398]"
M0000003666532,"['라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', '아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '아크네스 3초 진정 패치 2종 택1', '[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', 'C09']","[0.9999771118164062, 0.999804675579071, 0.9985973238945007, 0.9342486262321472, 0.9108989834785461]"
M0000001534639,"['스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', 'C09""', '칼파제르 밀크 초콜릿150g', '[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ']","[0.9999994039535522, 0.9999992847442627, 0.9999700784683228, 0.9999338388442993, 0.9996052384376526]"
M0000003758958,"['칼파제르 다크 초콜릿 70% 150g', 'C02', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', 'C04', '보로탈코 크레마 벨루탄테 크림 2종 택 1(30ml/150ml)']","[0.9999980926513672, 0.9999911785125732, 0.9999523162841797, 0.998808741569519, 0.9967367053031921]"
M0000011532012,"['레이즈 클래식 감자칩 42.5g', '히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)', '크리넥스 99.9% 항균 안심물티슈 10매', 'C08', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml']","[0.9998384714126587, 0.9995518326759338, 0.9978662133216858, 0.9971609115600586, 0.9932615160942078]"
