userId,top_5_name,prediction_rate
M0000017614720,"['[NEW] 무지개맨션 아이시 글로우', 'C05""', '[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', '[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1']","[1.0, 0.9999996423721313, 0.999953031539917, 0.9999319314956665, 0.9990828037261963]"
M0000010991729,"['밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', '[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', 'C04', 'C08""', 'C09']","[1.0, 0.9999997615814209, 0.9999940395355225, 0.9999561309814453, 0.9999481439590454]"
M0000013372209,"['아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '칼파제르 다크 초콜릿 70% 150g', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', 'C10""', '티타니아 샌드풋파일']","[0.9999948740005493, 0.9994825124740601, 0.9994401335716248, 0.9980126619338989, 0.9965734481811523]"
M0000012461153,"['마요라 코피코 커피맛캔디 블리스터 32g', 'C07', 'C06""', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '크리넥스 99.9% 항균 안심물티슈 10매']","[1.0, 0.9999979734420776, 0.9999871253967285, 0.9999715089797974, 0.9998776912689209]"
M0000004747756,"['레이즈 클래식 감자칩 42.5g', '헌터스 블랙 트러플칩 25g', '에스리턴 프로틴 브라우니바 초코 50g', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', '칼파제르 다크 초콜릿 70% 150g']","[0.9999969005584717, 0.9999663829803467, 0.9999581575393677, 0.999711811542511, 0.9993628859519958]"
M0000015558162,"['밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', '딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1', '로아커 미니스 믹스 15입 150g']","[1.0, 0.9999996423721313, 0.9999992847442627, 0.9999736547470093, 0.9987543821334839]"
M0000012192479,"['크리넥스 99.9% 항균 안심물티슈 10매', '아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '에뛰드 컬픽스 마스카라 ', 'C08', 'C05""']","[1.0, 1.0, 0.9999998807907104, 0.9999997615814209, 0.9995182752609253]"
M0000003666532,"['C02', 'C07', '칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1', '[1+1기획]페리페라 잉크블랙카라']","[1.0, 0.9999973773956299, 0.9999585151672363, 0.999840259552002, 0.9989445805549622]"
M0000001534639,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', '보로탈코 크레마 벨루탄테 크림 2종 택 1(30ml/150ml)', '필리밀리 손톱깎이 (S)', 'C05']","[1.0, 1.0, 1.0, 1.0, 0.9999853372573853]"
M0000003758958,"['바이오티 마시는 프리바이오틱스 애플소다 350ml', 'C07', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', '로아커 미니스 믹스 15입 150g', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)']","[1.0, 0.9999662637710571, 0.9999499320983887, 0.9999462366104126, 0.9978235960006714]"
M0000011532012,"['칼파제르 다크 초콜릿 70% 150g', 'C08""', '레이즈 클래식 감자칩 42.5g', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '3CE 무드레시피 매트 립 컬러']","[1.0, 1.0, 1.0, 0.999994158744812, 0.9999939203262329]"
M0000017746998,"['레이즈 클래식 감자칩 42.5g', '에뛰드 컬픽스 마스카라 ', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', '에스리턴 프로틴 브라우니바 초코 50g']","[1.0, 1.0, 1.0, 0.9999971389770508, 0.9999858140945435]"
M0000020707121,"['라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', 'C10""', '고려은단 알티지 오메가3 60캡슐 (60일분)', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD']","[0.9999922513961792, 0.9999878406524658, 0.9999749660491943, 0.9999736547470093, 0.9988252520561218]"
M0000014686273,"['C08', 'C05', '히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)', '레이즈 클래식 감자칩 42.5g', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml']","[0.9998509883880615, 0.9994853734970093, 0.9993047714233398, 0.9991573095321655, 0.9970881342887878]"
M0000017340410,"['에뛰드 컬픽스 마스카라 ', '[NEW] 무지개맨션 아이시 글로우', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1', '3CE 무드레시피 매트 립 컬러', 'C02']","[1.0, 1.0, 0.9999997615814209, 0.9999502897262573, 0.9998650550842285]"
M0000010104447,"['라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', '3CE 무드레시피 매트 립 컬러', '[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', 'C04', '헌터스 블랙 트러플칩 25g']","[1.0, 1.0, 0.9999812841415405, 0.9998905658721924, 0.9995697140693665]"
M0000021457644,"['C06""', 'C06', 'C09', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '필리밀리 손톱깎이 (S)']","[1.0, 0.9999994039535522, 0.999987006187439, 0.9999830722808838, 0.9999538660049438]"
M0000003696496,"['헌터스 화이트 트러플칩 25g', 'C11""', '[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', 'C09', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)']","[0.9991274476051331, 0.9984399676322937, 0.9980430603027344, 0.9976044297218323, 0.9953697323799133]"
M0000010821228,"['라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', 'C09', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml']","[1.0, 0.9999986886978149, 0.9999871253967285, 0.999881386756897, 0.9998414516448975]"
M0000003829312,"['아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', 'C06', '[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', '칼파제르 다크 초콜릿 70% 150g']","[1.0, 1.0, 0.9999998807907104, 0.9999979734420776, 0.9999858140945435]"
M0000000765412,"['아크네스 3초 진정 패치 2종 택1', '칼파제르 다크 초콜릿 70% 150g', '로아커 미니스 믹스 15입 150g', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', 'C06""']","[1.0, 1.0, 1.0, 1.0, 0.9993109703063965]"
M0000015079965,"['[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)', '레이즈 클래식 감자칩 42.5g', '마요라 코피코 커피맛캔디 블리스터 32g', '필리밀리 손톱깎이 (S)']","[0.9999996423721313, 0.9999842643737793, 0.9999473094940186, 0.999887228012085, 0.9998389482498169]"
M0000019316484,"['크리넥스 99.9% 항균 안심물티슈 10매', '[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', 'C08""', '칼파제르 셀렉션 초콜릿150g', 'C11""']","[0.9999998807907104, 0.999758780002594, 0.9993311166763306, 0.992281973361969, 0.9885332584381104]"
M0000003475266,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '바이오티 마시는 프리바이오틱스 애플소다 350ml', 'C02', '딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml']","[1.0, 0.9999995231628418, 0.9999978542327881, 0.999997615814209, 0.9999812841415405]"
M0000011361683,"['C06', '아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '헌터스 블랙 트러플칩 25g', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', '칼파제르 셀렉션 초콜릿150g']","[1.0, 0.9999997615814209, 0.9999730587005615, 0.9945427179336548, 0.9912420511245728]"
M0000016804497,"['[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '[1+1기획]페리페라 잉크블랙카라', '헌터스 블랙 트러플칩 25g', '딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ', '레이즈 클래식 감자칩 42.5g']","[1.0, 0.9999983310699463, 0.9999299049377441, 0.9941020607948303, 0.9940675497055054]"
M0000018690709,"['C05', 'C09""', '[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)', 'C06""', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml']","[1.0, 1.0, 0.9999189376831055, 0.9998098015785217, 0.9986977577209473]"
M0000021940402,"['밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', 'C03', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '칼파제르 셀렉션 초콜릿150g', '필리밀리 손톱깎이 (S)']","[0.9999955892562866, 0.9999929666519165, 0.9999920129776001, 0.9997954964637756, 0.9992249011993408]"
M0000015144655,"['C10""', 'C05""', '헌터스 블랙 트러플칩 25g', 'C09', '필리밀리 코털가위']","[1.0, 1.0, 0.9999997615814209, 0.9999996423721313, 0.9999879598617554]"
M0000017881166,"['칼파제르 다크 초콜릿 70% 150g', '[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', 'C09', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD']","[1.0, 0.9996107220649719, 0.9995937943458557, 0.9960065484046936, 0.9951382875442505]"
M0000004636979,"['아크네스 3초 진정 패치 2종 택1', 'C02', '보로탈코 크레마 벨루탄테 크림 2종 택 1(30ml/150ml)', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1', 'C06""']","[0.9999977350234985, 0.9998866319656372, 0.9986042380332947, 0.9970096349716187, 0.9957796335220337]"
M0000018029532,"['스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', '[NEW] 무지개맨션 아이시 글로우', '마요라 코피코 커피맛캔디 블리스터 32g', 'C06', '필리밀리 코털가위']","[0.9999979734420776, 0.9999839067459106, 0.9995993971824646, 0.9994654059410095, 0.999314546585083]"
M0000003613449,"['아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '덴티스테 민트볼 20입', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', '[1+1기획]페리페라 잉크블랙카라']","[1.0, 1.0, 1.0, 0.9999992847442627, 0.9999736547470093]"
M0000003946263,"['[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', '고려은단 알티지 오메가3 60캡슐 (60일분)', 'C04']","[1.0, 0.9999626874923706, 0.9998704195022583, 0.9997127652168274, 0.9994598031044006]"
M0000002966304,"['[NEW] 무지개맨션 아이시 글로우', '레이즈 클래식 감자칩 42.5g', 'C08', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', 'C06']","[1.0, 1.0, 0.9916266202926636, 0.988983690738678, 0.9806897044181824]"
M0000019731890,"['칼파제르 밀크 초콜릿150g', '바이오티 마시는 프리바이오틱스 애플소다 350ml', 'C05""', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '필리밀리 손톱깎이 (S)']","[0.9999998807907104, 0.9999997615814209, 0.9999986886978149, 0.9999942779541016, 0.9999866485595703]"
M0000014495074,"['라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', '[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '필리밀리 코털가위', '칼파제르 셀렉션 초콜릿150g', '마요라 코피코 커피맛캔디 블리스터 32g']","[1.0, 0.9999325275421143, 0.9990185499191284, 0.9877123236656189, 0.9870014190673828]"
M0000010202549,"['바이오티 마시는 프리바이오틱스 애플소다 350ml', '덴티스테 민트볼 20입', '딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ', 'C10""', '크리넥스 99.9% 항균 안심물티슈 10매']","[1.0, 0.9999669790267944, 0.9999480247497559, 0.9998855590820312, 0.999305009841919]"
